Geo_id,Geo_id2,Geo_display_label,T_Pop,T_U5,P_U5,T_5_9,P_5_9,T_10_14,P_10_14,T_15_19,P_15_19,T_20_24,P_20_24,T_25_29,P_25_29,T_30_34,P_30_34,T_35_39,P_35_39,T_40_44,P_40_44,T_45_49,P_45_49,T_50_54,P_50_54,T_55_59,P_55_59,T_60_64,P_60_64,T_65_69,P_65_69,T_70_74,P_70_74,T_75_79,P_75_79,T_80_84,P_80_84,T_85,P_85
1400000US11001001804,11001001804,"Census Tract 18.04, District of Columbia, District of Columbia",5668,544,9.6,374,6.6,324,5.7,313,5.5,270,4.8,354,6.2,464,8.2,516,9.1,414,7.3,395,7.0,345,6.1,405,7.1,304,5.4,202,3.6,177,3.1,27,0.5,138,2.4,102,1.8
1400000US11001001901,11001001901,"Census Tract 19.01, District of Columbia, District of Columbia",4065,309,7.6,249,6.1,215,5.3,244,6.0,148,3.6,332,8.2,254,6.2,385,9.5,233,5.7,316,7.8,353,8.7,243,6.0,187,4.6,155,3.8,134,3.3,96,2.4,132,3.2,80,2.0
1400000US11001001902,11001001902,"Census Tract 19.02, District of Columbia, District of Columbia",2494,129,5.2,82,3.3,87,3.5,94,3.8,111,4.5,241,9.7,155,6.2,223,8.9,181,7.3,252,10.1,137,5.5,229,9.2,121,4.9,112,4.5,82,3.3,69,2.8,57,2.3,132,5.3
1400000US11001002001,11001002001,"Census Tract 20.01, District of Columbia, District of Columbia",3150,288,9.1,128,4.1,162,5.1,160,5.1,146,4.6,164,5.2,324,10.3,132,4.2,206,6.5,232,7.4,211,6.7,258,8.2,216,6.9,144,4.6,185,5.9,103,3.3,62,2.0,29,0.9
1400000US11001002002,11001002002,"Census Tract 20.02, District of Columbia, District of Columbia",4202,256,6.1,325,7.7,239,5.7,169,4.0,225,5.4,395,9.4,457,10.9,219,5.2,452,10.8,210,5.0,246,5.9,338,8.0,142,3.4,290,6.9,65,1.5,67,1.6,38,0.9,69,1.6
1400000US11001002101,11001002101,"Census Tract 21.01, District of Columbia, District of Columbia",4819,269,5.6,151,3.1,202,4.2,180,3.7,149,3.1,422,8.8,484,10.0,258,5.4,182,3.8,401,8.3,505,10.5,488,10.1,407,8.4,336,7.0,118,2.4,85,1.8,15,0.3,167,3.5
1400000US11001002102,11001002102,"Census Tract 21.02, District of Columbia, District of Columbia",5264,238,4.5,222,4.2,257,4.9,210,4.0,265,5.0,526,10.0,530,10.1,228,4.3,559,10.6,502,9.5,340,6.5,370,7.0,326,6.2,128,2.4,183,3.5,146,2.8,50,0.9,184,3.5
1400000US11001002201,11001002201,"Census Tract 22.01, District of Columbia, District of Columbia",2955,151,5.1,132,4.5,77,2.6,89,3.0,151,5.1,313,10.6,295,10.0,188,6.4,249,8.4,129,4.4,165,5.6,169,5.7,241,8.2,113,3.8,119,4.0,88,3.0,151,5.1,135,4.6
1400000US11001002202,11001002202,"Census Tract 22.02, District of Columbia, District of Columbia",3347,337,10.1,140,4.2,172,5.1,142,4.2,163,4.9,290,8.7,518,15.5,403,12.0,149,4.5,171,5.1,241,7.2,122,3.6,108,3.2,176,5.3,55,1.6,55,1.6,48,1.4,57,1.7
1400000US11001002301,11001002301,"Census Tract 23.01, District of Columbia, District of Columbia",3625,300,8.3,160,4.4,107,3.0,215,5.9,203,5.6,153,4.2,374,10.3,421,11.6,232,6.4,395,10.9,337,9.3,197,5.4,123,3.4,158,4.4,48,1.3,60,1.7,46,1.3,96,2.6
