Geo_id,Geo_id2,Geo_display_label,HH_T_10k,HH_T_1014k,HH_T_1524k,HH_T_2534k,HH_T_3549k,HH_T_5074k,HH_T_7599k,HH_T_100k,HH_T_150k,HH_T_200k
1400000US11001009906,11001009906,"Census Tract 99.06, District of Columbia, District of Columbia",13.3,9.1,14.8,4.9,13.5,25.1,12.8,4,1.1,1.4
1400000US11001009907,11001009907,"Census Tract 99.07, District of Columbia, District of Columbia",23.2,5,13.8,14.3,14.7,12.4,11.9,3.9,0.9,0
1400000US11001010100,11001010100,"Census Tract 101, District of Columbia, District of Columbia",9.4,3.4,4.1,6.2,8.3,9.8,19.9,18.2,10.6,10.3
1400000US11001010200,11001010200,"Census Tract 102, District of Columbia, District of Columbia",2,2,1.5,2.3,7.7,12.6,16.7,30.5,12.4,12.3
1400000US11001010300,11001010300,"Census Tract 103, District of Columbia, District of Columbia",5.3,1.8,11.8,7.5,14.6,13.6,7.4,22.1,8.6,7.4
1400000US11001010400,11001010400,"Census Tract 104, District of Columbia, District of Columbia",18.8,8.2,8.4,13.8,11.9,10.1,15.8,10.2,2.2,0.8
1400000US11001010500,11001010500,"Census Tract 105, District of Columbia, District of Columbia",14.4,2.7,1,3.1,10.6,15.2,11.4,19.4,14.2,8
1400000US11001010600,11001010600,"Census Tract 106, District of Columbia, District of Columbia",6.7,0.6,6.2,1.7,3.4,11.8,10,25.8,14.8,19
1400000US11001010700,11001010700,"Census Tract 107, District of Columbia, District of Columbia",10.9,2.3,4.8,11.9,7.8,12.3,17.7,19.9,7.6,4.9
1400000US11001010800,11001010800,"Census Tract 108, District of Columbia, District of Columbia",27.3,10.9,1.7,9.5,12.6,9.4,8.2,8.8,9.1,2.6
1400000US11001010900,11001010900,"Census Tract 109, District of Columbia, District of Columbia",15.6,13.3,13.3,12.4,21.2,9.3,7,6.2,1.7,0
